"ID","r","rw","rx","rwc","rwx","rwxc","label","category","sample"
0,367,307,117,84,70,0,"B","Utilities","B_Utilities_7zip.json"
1,107,96,43,31,5,0,"B","Utilities","B_Utilities_7zip.json"
2,62,59,18,21,49,0,"B","Utilities","B_Utilities_AxCrypt.json"
3,132,120,52,40,6,0,"B","Filezilla.json","B_Filezilla.json"
4,165,166,69,35,6,0,"B","Spotify.json","B_Spotify.json"
5,175,207,56,40,68,0,"B","VeraCrypt.json","B_VeraCrypt.json"
6,492,418,161,102,69,0,"B","Vlc.json","B_Vlc.json"
7,127,140,53,40,6,0,"B","Vlc.json","B_Vlc.json"
8,114,127,43,34,6,0,"B","Vlc.json","B_Vlc.json"
9,132,98,41,40,62,0,"B","Vlc.json","B_Vlc.json"
66,103,171,41,80,5,0,"B","Action Games","B_Action Games_AssaultCube Portable.exe.json"
67,489,413,160,101,70,0,"B","Utilities","B_Utilities_AOMEIBackupperStd.exe.json"
68,85,76,32,27,5,0,"B","Utilities","B_Utilities_AOMEIBackupperStd.exe.json"
69,281,447,111,75,14,0,"B","Utilities","B_Utilities_AOMEIBackupperStd.exe.json"
70,261,158,90,51,6,0,"B","Utilities","B_Utilities_AOMEIBackupperStd.exe.json"
71,261,183,90,52,6,0,"B","Utilities","B_Utilities_AOMEIBackupperStd.exe.json"
72,483,444,158,103,66,0,"B","Music and Video","B_Music and Video_audacity-win-3.0.4-x64.exe.json"
73,98,85,38,28,5,0,"B","Music and Video","B_Music and Video_audacity-win-3.0.4-x64.exe.json"
74,162,150,66,47,6,0,"B","Music and Video","B_Music and Video_audacity-win-3.0.4-x64.exe.json"
75,76,63,23,27,58,0,"B","Music and Video","B_Music and Video_audacity-win-3.0.4-x64.exe.json"
76,72,16,20,27,3,0,"B","Music and Video","B_Music and Video_audacity-win-3.0.4-x64.exe.json"
77,103,216,41,115,5,0,"B","Auditory","B_Auditory_Solfege Portable.exe.json"
78,213,207,69,44,75,0,"B","Music and Video","B_Music and Video_blender-2.93.3-windows-x64.msi.json"
79,111,191,45,109,5,0,"B","Code Analysis","B_Code Analysis_Cppcheck Portable.exe.json"
80,111,188,45,108,5,0,"B","Database","B_Database_Database Browser Portable.exe.json"
81,103,154,41,80,5,0,"B","Dictionaries and Thesauruses","B_Dictionaries and Thesauruses_Artha Portable.exe.json"
82,103,195,41,118,5,0,"B","Dictionaries and Thesauruses","B_Dictionaries and Thesauruses_GoldenDict Portable.exe.json"
83,174,171,71,44,7,0,"B","DiscordSetup.exe.json","B_DiscordSetup.exe.json"
84,488,432,159,104,66,0,"B","dot11expert.exe.json","B_dot11expert.exe.json"
85,13,10,4,5,3,0,"B","dot11expert.exe.json","B_dot11expert.exe.json"
86,13,10,4,5,3,0,"B","dot11expert.exe.json","B_dot11expert.exe.json"
87,97,79,38,28,5,0,"B","dot11expert.exe.json","B_dot11expert.exe.json"
88,167,152,69,47,6,0,"B","dot11expert.exe.json","B_dot11expert.exe.json"
89,203,161,69,33,64,0,"B","dot11expert.exe.json","B_dot11expert.exe.json"
90,135,97,45,33,61,0,"B","dot11expert.exe.json","B_dot11expert.exe.json"
91,168,159,71,41,7,0,"B","dot11expert.exe.json","B_dot11expert.exe.json"
92,181,155,62,32,64,0,"B","dot11expert.exe.json","B_dot11expert.exe.json"
103,111,208,45,109,5,0,"B","education","B_education_Astronomy_Stellarium Portable.exe.json"
104,132,120,52,41,6,0,"B","FileZilla","B_FileZilla_3.55.0_win64-setup.exe.json"
105,131,109,51,37,6,0,"B","FocusWriter","B_FocusWriter_1.7.6.exe.json"
106,109,117,44,33,5,0,"B","games","B_games_Adventure Games_ADR Portable.exe.json"
107,111,196,45,113,5,0,"B","games","B_games_Adventure Games_BYOND Portable.exe.json"
108,483,360,158,102,66,0,"B","gimp-2.10.24-setup-3.exe.json","B_gimp-2.10.24-setup-3.exe.json"
109,98,85,38,28,5,0,"B","gimp-2.10.24-setup-3.exe.json","B_gimp-2.10.24-setup-3.exe.json"
110,153,150,61,46,7,0,"B","gimp-2.10.24-setup-3.exe.json","B_gimp-2.10.24-setup-3.exe.json"
111,178,156,57,40,68,0,"B","GoogleDriveSetup.exe.json","B_GoogleDriveSetup.exe.json"
112,483,401,158,102,70,0,"B","HandBrake-1.4.1-x86","B_HandBrake-1.4.1-x86_64-Win_GUI.exe.json"
113,123,123,51,35,5,0,"B","HandBrake-1.4.1-x86","B_HandBrake-1.4.1-x86_64-Win_GUI.exe.json"
114,483,426,158,102,70,0,"B","hdde","B_hdde_lite.exe.json"
115,13,10,4,5,3,0,"B","hdde","B_hdde_lite.exe.json"
116,97,79,38,28,5,0,"B","hdde","B_hdde_lite.exe.json"
117,167,151,69,46,6,0,"B","hdde","B_hdde_lite.exe.json"
118,203,160,69,34,69,0,"B","hdde","B_hdde_lite.exe.json"
119,135,100,45,33,62,0,"B","hdde","B_hdde_lite.exe.json"
120,165,171,70,43,7,0,"B","hdde","B_hdde_lite.exe.json"
121,483,380,158,102,66,0,"B","iobituninstaller.exe.json","B_iobituninstaller.exe.json"
122,84,72,32,27,5,0,"B","iobituninstaller.exe.json","B_iobituninstaller.exe.json"
123,138,119,54,40,7,0,"B","iobituninstaller.exe.json","B_iobituninstaller.exe.json"
124,68,60,19,22,45,0,"B","iTunes64Setup.exe.json","B_iTunes64Setup.exe.json"
125,80,71,23,27,59,0,"B","iview458","B_iview458_x64_setup.exe.json"
126,483,420,158,103,70,0,"B","kcleaner","B_kcleaner_lite.exe.json"
127,97,79,38,28,5,0,"B","kcleaner","B_kcleaner_lite.exe.json"
128,167,149,69,47,6,0,"B","kcleaner","B_kcleaner_lite.exe.json"
129,203,164,69,33,69,0,"B","kcleaner","B_kcleaner_lite.exe.json"
130,135,97,45,33,62,0,"B","kcleaner","B_kcleaner_lite.exe.json"
131,165,205,69,43,7,0,"B","kcleaner","B_kcleaner_lite.exe.json"
132,13,10,4,5,3,0,"B","kcleaner","B_kcleaner_lite.exe.json"
133,131,111,51,38,6,0,"B","kodi-19.1-Matrix-x64.exe.json","B_kodi-19.1-Matrix-x64.exe.json"
134,69,72,26,28,5,0,"B","kodi-19.1-Matrix-x64.exe.json","B_kodi-19.1-Matrix-x64.exe.json"
135,120,103,50,29,6,0,"B","kodi-19.1-Matrix-x64.exe.json","B_kodi-19.1-Matrix-x64.exe.json"
136,69,76,26,28,5,0,"B","kodi-19.1-Matrix-x64.exe.json","B_kodi-19.1-Matrix-x64.exe.json"
137,64,62,24,23,5,0,"B","kodi-19.1-Matrix-x64.exe.json","B_kodi-19.1-Matrix-x64.exe.json"
138,69,75,26,28,5,0,"B","kodi-19.1-Matrix-x64.exe.json","B_kodi-19.1-Matrix-x64.exe.json"
