ID,NAME,DATEADDED,LOCATION,MD5_HASH,SHA256_HASH,CUCKOO_ID,MALICIOUS,DOWNLOADED,CATEGORY
1,AOMEIBackupperStd.exe,2021-08-26 21:22:23,AOMEIBackupperStd.exe,1fbd09ef16e2f4198b5451df9b107c58,3693170769dc0d750792dbdcb48d6e9b54c80d2c92381de1e19a36954adc4995,39,0,1,utilities
2,audacity-win-3.0.4-x64.exe,2021-08-26 21:22:23,audacity-win-3.0.4-x64.exe,c75c9fc2eaca0b245d477f9e08555906,a22c925d16d9a811712e5bbe1b4206fd91cfe23ca8a8732083f02df9838c7c4b,40,0,1,music_video
3,blender-2.93.3-windows-x64.msi,2021-08-26 21:22:24,blender-2.93.3-windows-x64.msi,e8a406e22ecebeeea84c996e56f1d67f,454497648cd05d45f0f21ea55d5b8b644dbe6325f355a7aaea6189e2389acf32,41,0,1,graphics_pictures
4,DiscordSetup.exe,2021-08-26 21:22:25,DiscordSetup.exe,401f2cf9414801ebadf5a0b439bfb9f6,e825cf8e0b4db9797ca9e57191b01aab0c06536a24d08ec0a4767b5248a8526f,42,0,1,internet
5,dot11expert.exe,2021-08-26 21:22:25,dot11expert.exe,7db5401e2453d7e496adadc08a85d609,5152047d255536048ca06a7fe71c28f22b121036bfb86aa3d56e23f8c306fe10,43,0,1,utilities
6,driver_booster_setup.exe,2021-08-26 21:22:25,driver_booster_setup.exe,423aeaab469c0efa1743b0377946b2ba,21032d3dad9ab2a367e0d2918e47f25f073c07f975680238856fe5e9da2248ee,44,0,1,utilities
7,dumo_lite.exe,2021-08-26 21:22:25,dumo_lite.exe,2d05e6985da817992c6b8e1c35dcad0f,70a38f3c4567955c3fc57797289120c02dd3864b34968639cf8ca7bb1c215a7d,45,0,1,utilities
8,FocusWriter_1.7.6.exe,2021-08-26 21:22:25,FocusWriter_1.7.6.exe,6b301c2b5bccf7ea15a81b25dfd7581e,54bcb2eb906e05451c52dbffc0a2b12de5d3b3df99e836e6e7f403bc982ce445,46,0,1,internet
9,gimp-2.10.24-setup-3.exe,2021-08-26 21:22:26,gimp-2.10.24-setup-3.exe,8cf9ee41cc3792e6f28011e4f58c442b,5e9eabe5739523a9fc347b4614d919418f3335e7aab082a65f71705421e85e04,47,0,1,graphics_pictures
10,GoogleDriveSetup.exe,2021-08-26 21:22:28,GoogleDriveSetup.exe,176a5bc18435a003ead73dca1f0be28b,c659012843421859d869cdedf658f3176d16bc31ae3442656534f801121466a2,48,0,1,internet
11,HandBrake-1.4.1-x86_64-Win_GUI.exe,2021-08-26 21:22:28,HandBrake-1.4.1-x86_64-Win_GUI.exe,18202e4e36e7390f4d029f18cd0ff77d,fb0d2788f2bd9789e3ed5a533691d3e6fbea394e9435c3881f57613fe1ea8af1,49,0,1,music_video
12,hdde_lite.exe,2021-08-26 21:22:28,hdde_lite.exe,ee143858b7e8c695d7fb424f38df18c8,e5a54187fdce5c40b612089a69122e045c9f05aff4ef90fafc912ad66c22b6c5,50,0,1,utilities
13,iobituninstaller.exe,2021-08-26 21:22:28,iobituninstaller.exe,795e7e593d7b469ba4cd63b656aca774,7dc91295d747ab12bdcf61ada908530a819cdbe4bb16f4c43544ffd646b4afa5,51,0,1,utilities
14,iTunes64Setup.exe,2021-08-26 21:22:29,iTunes64Setup.exe,0cc121657354066e276808ddefd32d8b,0f9beca9148f5ced1ab77b4024d462c54846c4b3e8a4e1dcbeff730b5e5c66c8,78,0,1,music_video
