ID,NAME,DATEADDED,LOCATION,MD5_HASH,SHA256_HASH,CUCKOO_ID,MALICIOUS,DOWNLOADED,CATEGORY
8,750984dff0d13260e17e9bb1a3482f1bae834d6e0de1bcd199028748a9f998dc.exe,2021-08-27 20:46:32,GlobeImposter_750984dff0d13260e17e9bb1a3482f1bae834d6e0de1bcd199028748a9f998dc.exe,f1776c38e72b008e6a4b25241ce75b38,750984dff0d13260e17e9bb1a3482f1bae834d6e0de1bcd199028748a9f998dc,140,1,1,GlobeImposter
9,8fec485e47fd1231aeb1a4107a4918f92c2b15fa66e9171be39a765d26a12acb.exe,2021-08-27 20:46:32,BlackRose_8fec485e47fd1231aeb1a4107a4918f92c2b15fa66e9171be39a765d26a12acb.exe,970773a113d1fc6053fab8f1cc1eec6d,8fec485e47fd1231aeb1a4107a4918f92c2b15fa66e9171be39a765d26a12acb,90,1,1,BlackRose
10,8b4b233e87c61c8698e086b376da640c9ab2ecd71c58b1f6a2eceb60b7e1a691.exe,2021-08-27 20:46:32,Mespinoza_8b4b233e87c61c8698e086b376da640c9ab2ecd71c58b1f6a2eceb60b7e1a691.exe,dc82cd73d0738cfe2e49c499c2fa631e,8b4b233e87c61c8698e086b376da640c9ab2ecd71c58b1f6a2eceb60b7e1a691,207,1,1,Mespinoza
28,5de4af86a4410fb6a4c7d54ba4586d35b6abbf2da183fed30ec71547a0a9f319.exe,2021-08-27 20:46:33,Balaclava_5de4af86a4410fb6a4c7d54ba4586d35b6abbf2da183fed30ec71547a0a9f319.exe,7ed4882c2a0d24c401cbce7536ddf792,5de4af86a4410fb6a4c7d54ba4586d35b6abbf2da183fed30ec71547a0a9f319,88,1,1,Balaclava
29,7634e4dcaa6312c9c93aee4d4792dca62b6473e94a19bf724c181f48cfcc6d30.exe,2021-08-27 20:46:33,Balaclava_7634e4dcaa6312c9c93aee4d4792dca62b6473e94a19bf724c181f48cfcc6d30.exe,ce1d2ec148440b0be8bdd16f1eef25ff,7634e4dcaa6312c9c93aee4d4792dca62b6473e94a19bf724c181f48cfcc6d30,99,1,1,Balaclava
30,b8d026c281a072f68ee72d801f83df068cf06c144e353c248949101e6c6d5c69.exe,2021-08-27 20:46:33,Balaclava_b8d026c281a072f68ee72d801f83df068cf06c144e353c248949101e6c6d5c69.exe,f55779e1d6244117bb090a74e700c7c4,b8d026c281a072f68ee72d801f83df068cf06c144e353c248949101e6c6d5c69,124,1,1,Balaclava
31,5df78a95af2cc44d7f94a642e24ee8788cee037c6723f5aad203df730e89a2d8.exe,2021-08-27 20:46:33,Balaclava_5df78a95af2cc44d7f94a642e24ee8788cee037c6723f5aad203df730e89a2d8.exe,2046d5509a677e9af42a5b6533302d60,5df78a95af2cc44d7f94a642e24ee8788cee037c6723f5aad203df730e89a2d8,182,1,1,Balaclava
36,dfecb46078038bcfa9d0b8db18bdc0646f33bad55ee7dd5ee46e61c6cf399620.exe,2021-08-27 20:46:33,Exorcist_dfecb46078038bcfa9d0b8db18bdc0646f33bad55ee7dd5ee46e61c6cf399620.exe,9e5c89c84cdbf460fc6857c4e32dafdf,dfecb46078038bcfa9d0b8db18bdc0646f33bad55ee7dd5ee46e61c6cf399620,136,1,1,Exorcist
37,eeb8a83d7532797d39d060ffb2a65562e8d803c4dbd8379289f99367cac2f850.exe,2021-08-27 20:46:33,Exorcist_eeb8a83d7532797d39d060ffb2a65562e8d803c4dbd8379289f99367cac2f850.exe,8cc13fea61cc0ba1382a779ee46726f0,eeb8a83d7532797d39d060ffb2a65562e8d803c4dbd8379289f99367cac2f850,193,1,1,Exorcist
39,027cc450ef5f8c5f653329641ec1fed91f694e0d229928963b30f6b0d7d3a745,2021-08-27 20:46:33,NotPetya_027cc450ef5f8c5f653329641ec1fed91f694e0d229928963b30f6b0d7d3a745,71b6a493388e7d0b40c83ce903bc6b04,027cc450ef5f8c5f653329641ec1fed91f694e0d229928963b30f6b0d7d3a745,213,1,1,NotPetya
